objectid,title,attribution,medium,classification,subclassification,beginyear,endyear,depictstmsobjectid,iiifurl,iiifthumburl,openaccess
46483,Italian Peasant Boy,Jean-Baptiste-Camille Corot,oil on paper on canvas,Painting,,1825.0,1827.0,46483,https://api.nga.gov/iiif/4a30a65e-8568-49d4-8fbb-cb6ff033d27e,"https://api.nga.gov/iiif/4a30a65e-8568-49d4-8fbb-cb6ff033d27e/full/!200,200/0/default.jpg",1
164963,Figures in a Landscape,Georges Seurat,oil on wood,Painting,,1883.0,1883.0,164963,https://api.nga.gov/iiif/e5c816b9-34e7-440c-9f09-04d09b4c4a85,"https://api.nga.gov/iiif/e5c816b9-34e7-440c-9f09-04d09b4c4a85/full/!200,200/0/default.jpg",1
43596,"Fanciful View of the Castel Sant'Angelo, Rome",Francesco Guardi,oil on canvas,Painting,,1785.0,1785.0,43596,https://api.nga.gov/iiif/9130930c-d10d-4cdb-a925-9c506fa80512,"https://api.nga.gov/iiif/9130930c-d10d-4cdb-a925-9c506fa80512/full/!200,200/0/default.jpg",1
50729,The Much Resounding Sea,Thomas Moran,oil on canvas,Painting,,1884.0,1884.0,50729,https://api.nga.gov/iiif/05213163-b2fc-4523-b963-575f85884783,"https://api.nga.gov/iiif/05213163-b2fc-4523-b963-575f85884783/full/!200,200/0/default.jpg",1
61388,Woman in a Striped Dress,Edouard Vuillard,oil on canvas,Painting,,1895.0,1895.0,61388,https://api.nga.gov/iiif/d2920459-884b-4c3a-995b-e30f4ddcca67,"https://api.nga.gov/iiif/d2920459-884b-4c3a-995b-e30f4ddcca67/full/!200,200/0/default.jpg",1
43721,Decius Mus Addressing the Legions,Sir Peter Paul Rubens,"oil on hardboard, transferred from wood and canvas",Painting,,1616.0,1616.0,43721,https://api.nga.gov/iiif/89ad4f1c-f1eb-4476-8acd-e3bc3b31eb83,"https://api.nga.gov/iiif/89ad4f1c-f1eb-4476-8acd-e3bc3b31eb83/full/!200,200/0/default.jpg",1
46062,"Giacomo and Cardinal Marco, investing Andrea, Abbot of San Zeno, with his Benefice",Follower of Titian,oil on canvas,Painting,,1519.0,1529.0,46062,https://api.nga.gov/iiif/4ffb23b8-d1a6-41c0-989e-05e325c36033,"https://api.nga.gov/iiif/4ffb23b8-d1a6-41c0-989e-05e325c36033/full/!200,200/0/default.jpg",1
195391,Fruit Still Life,Robert Seldon Duncanson,oil on canvas,Painting,,1849.0,1849.0,195391,https://api.nga.gov/iiif/dd330095-d8e9-488f-b9cd-d3eeb403524a,"https://api.nga.gov/iiif/dd330095-d8e9-488f-b9cd-d3eeb403524a/full/!200,200/0/default.jpg",1
43705,Colonel Augustus James Pleasonton,John Neagle,oil on canvas,Painting,,1846.0,1846.0,43705,https://api.nga.gov/iiif/4b9cc2eb-5d4b-46ee-ae53-29b61da22381,"https://api.nga.gov/iiif/4b9cc2eb-5d4b-46ee-ae53-29b61da22381/full/!200,200/0/default.jpg",1
50587,A Small Orejona Village,George Catlin,oil on card mounted on paperboard,Painting,,1854.0,1869.0,50587,https://api.nga.gov/iiif/9f457ca7-0526-4676-b8eb-4f20016b362e,"https://api.nga.gov/iiif/9f457ca7-0526-4676-b8eb-4f20016b362e/full/!200,200/0/default.jpg",1
