objectid,title,classification,iiifurl,iiifthumburl,openaccess,portrait_like
71868,Saint Anthony Abbot and Saint Bernardino of Siena,Painting,https://api.nga.gov/iiif/e63db914-d033-4886-b570-6f950b783935,"https://api.nga.gov/iiif/e63db914-d033-4886-b570-6f950b783935/full/!200,200/0/default.jpg",1,True
72037,The Martyrdom of Saint Bartholomew,Painting,https://api.nga.gov/iiif/f68cac7e-19ef-43fb-bd0c-43df04602173,"https://api.nga.gov/iiif/f68cac7e-19ef-43fb-bd0c-43df04602173/full/!200,200/0/default.jpg",1,True
72072,Portrait of a Member of the Quaratesi Family,Painting,https://api.nga.gov/iiif/2eb7cba2-a1f6-480e-99ef-a1cb351db0e0,"https://api.nga.gov/iiif/2eb7cba2-a1f6-480e-99ef-a1cb351db0e0/full/!200,200/0/default.jpg",1,True
76206,Two Girls under an Umbrella,Painting,https://api.nga.gov/iiif/b52760ee-3f2a-4519-be6f-4bb83f89b4e2,"https://api.nga.gov/iiif/b52760ee-3f2a-4519-be6f-4bb83f89b4e2/full/!200,200/0/default.jpg",1,True
86204,Youth Making a Face,Painting,https://api.nga.gov/iiif/79c594fc-f6f8-4ecd-ba93-18820036cadb,"https://api.nga.gov/iiif/79c594fc-f6f8-4ecd-ba93-18820036cadb/full/!200,200/0/default.jpg",1,True
92994,Self-Portrait with White Collar,Painting,https://api.nga.gov/iiif/d03028d8-8e7a-477e-98a4-3175ac424b9f,"https://api.nga.gov/iiif/d03028d8-8e7a-477e-98a4-3175ac424b9f/full/!200,200/0/default.jpg",1,True
92996,Self-Portrait,Painting,https://api.nga.gov/iiif/222cf19b-fde7-478a-97e0-9f80218dfe71,"https://api.nga.gov/iiif/222cf19b-fde7-478a-97e0-9f80218dfe71/full/!200,200/0/default.jpg",1,True
93000,"Self-Portrait, Aged 21",Painting,https://api.nga.gov/iiif/f28d0f65-c4cd-4101-8a0e-6690bbbd3996,"https://api.nga.gov/iiif/f28d0f65-c4cd-4101-8a0e-6690bbbd3996/full/!200,200/0/default.jpg",1,True
93044,Boy in a Red Waistcoat,Painting,https://api.nga.gov/iiif/23a49029-bfee-49bf-8f6c-07394b98965c,"https://api.nga.gov/iiif/23a49029-bfee-49bf-8f6c-07394b98965c/full/!200,200/0/default.jpg",1,True
93322,Head of a Young Boy,Painting,https://api.nga.gov/iiif/c6847a6c-8a40-41e3-b639-3df1ce6b222b,"https://api.nga.gov/iiif/c6847a6c-8a40-41e3-b639-3df1ce6b222b/full/!200,200/0/default.jpg",1,True
